Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Crop Name (crop_name),Crop Code (crop_code),Crop Type (crop_type),Season (season),Area (area),Area Unit (area_unit),Production (production),Production Unit (production_unit),Yield (yield),Yield Unit (yield_unit)
"2021-2022","Assam","18","Tinsukia","302","Urad","203.0","Pulses","Rabi",2116,"Hectare",1295,"Tonnes",0.612,"Tonnes/Hectare"
"2021-2022","Assam","18","Tinsukia","302","Wheat","106.0","Cereals","Rabi",276,"Hectare",345,"Tonnes",1.25,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Arecanut","507.0","Spices","Rabi",2685,"Hectare",1981,"Tonnes",0.738,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Arhar/Tur","202.0","Pulses","Kharif",279,"Hectare",237,"Tonnes",0.849,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Banana","606.0","Fruits","Whole Year",952,"Hectare",18250,"Tonnes",19.17,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Black Pepper","501.0","Spices","Whole Year",223,"Hectare",456,"Tonnes",2.045,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Castor Seed","1002.0","Oilseeds","Kharif",18,"Hectare",7,"Tonnes",0.389,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Coconut","1006.0","Oilseeds","Whole Year",710,"Hectare",2513000,"Tonnes",3539.437,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Ginger","503.0","Spices","Whole Year",332,"Hectare",3449,"Tonnes",10.389,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Gram","201.0","Pulses","Rabi",31,"Hectare",27,"Tonnes",0.871,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Jute","1102.0","Fiber Crops","Kharif",3538,"Hectare",48914,"Tonnes",13.825,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Linseed","1005.0","Oilseeds","Rabi",376,"Hectare",271,"Tonnes",0.721,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Maize","104.0","Cereals","Kharif",585,"Hectare",1363,"Tonnes",2.33,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Masoor","205.0","Pulses","Rabi",325,"Hectare",257,"Tonnes",0.791,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Mesta","1103.0","Fiber Crops","Kharif",113,"Hectare",1011,"Tonnes",8.947,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Moong(Green Gram)","204.0","Pulses","Rabi",102,"Hectare",87,"Tonnes",0.853,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Niger Seed","1010.0","Oilseeds","Kharif",341,"Hectare",242,"Tonnes",0.71,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Onion","708.0","Vegetable","Whole Year",236,"Hectare",898,"Tonnes",3.805,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Other Rabi Pulses","288.0","Pulses","Rabi",708,"Hectare",750,"Tonnes",1.059,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Peas & Beans (Pulses)","213.0","Pulses","Rabi",478,"Hectare",612,"Tonnes",1.28,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Potato","701.0","Vegetable","Whole Year",7224,"Hectare",46532,"Tonnes",6.441,"Tonnes/Hectare"
"2021-2022","Bihar","10","Rohtas","215","Barley","107.0","Cereals","Rabi",219,"Hectare",293,"Tonnes",1.338,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",6266,"Hectare",4013,"Tonnes",0.64,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Rice","101.0","Cereals","Autumn",7142,"Hectare",12917,"Tonnes",1.809,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Rice","101.0","Cereals","Summer",2363,"Hectare",5481,"Tonnes",2.32,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Rice","101.0","Cereals","Total",78126,"Hectare",168794,"Tonnes",2.161,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Rice","101.0","Cereals","Winter",68621,"Hectare",150396,"Tonnes",2.192,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Sesamum","1003.0","Oilseeds","Kharif",244,"Hectare",224,"Tonnes",0.918,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Small Millets","108.0","Cereals","Kharif",52,"Hectare",37,"Tonnes",0.712,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Sugarcane","401.0","Sugar","Whole Year",671,"Hectare",24870,"Tonnes",37.064,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Sweet Potato","703.0","Vegetable","Whole Year",359,"Hectare",2416,"Tonnes",6.73,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Tapioca","702.0","Vegetable","Whole Year",296,"Hectare",2830,"Tonnes",9.561,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Turmeric","504.0","Spices","Whole Year",661,"Hectare",711,"Tonnes",1.076,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Urad","203.0","Pulses","Rabi",172,"Hectare",113,"Tonnes",0.657,"Tonnes/Hectare"
"2021-2022","Assam","18","Udalguri","617","Wheat","106.0","Cereals","Rabi",75,"Hectare",103,"Tonnes",1.373,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Arecanut","507.0","Spices","Rabi",699,"Hectare",357,"Tonnes",0.511,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Arhar/Tur","202.0","Pulses","Kharif",587,"Hectare",448,"Tonnes",0.763,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Banana","606.0","Fruits","Whole Year",460,"Hectare",9269,"Tonnes",20.15,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Black Pepper","501.0","Spices","Whole Year",40,"Hectare",140,"Tonnes",3.5,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Castor Seed","1002.0","Oilseeds","Kharif",165,"Hectare",65,"Tonnes",0.394,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Coconut","1006.0","Oilseeds","Whole Year",80,"Hectare",269000,"Tonnes",3362.5,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Cotton(Lint)","1101.0","Fiber Crops","Kharif",98,"Hectare",52,"Tonnes",0.531,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Ginger","503.0","Spices","Whole Year",1036,"Hectare",10360,"Tonnes",10,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Gram","201.0","Pulses","Rabi",186,"Hectare",141,"Tonnes",0.758,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Jute","1102.0","Fiber Crops","Kharif",633,"Hectare",7649,"Tonnes",12.084,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Linseed","1005.0","Oilseeds","Rabi",15,"Hectare",6,"Tonnes",0.4,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Maize","104.0","Cereals","Kharif",1205,"Hectare",2739,"Tonnes",2.273,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Masoor","205.0","Pulses","Rabi",82,"Hectare",50,"Tonnes",0.61,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Mesta","1103.0","Fiber Crops","Kharif",45,"Hectare",241,"Tonnes",5.356,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Moong(Green Gram)","204.0","Pulses","Rabi",797,"Hectare",625,"Tonnes",0.784,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Niger Seed","1010.0","Oilseeds","Kharif",20,"Hectare",10,"Tonnes",0.5,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Onion","708.0","Vegetable","Whole Year",32,"Hectare",110,"Tonnes",3.438,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Peas & Beans (Pulses)","213.0","Pulses","Rabi",190,"Hectare",138,"Tonnes",0.726,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Potato","701.0","Vegetable","Whole Year",504,"Hectare",3640,"Tonnes",7.222,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",8256,"Hectare",3319,"Tonnes",0.402,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Rice","101.0","Cereals","Autumn",4817,"Hectare",9679,"Tonnes",2.009,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Rice","101.0","Cereals","Summer",2152,"Hectare",4864,"Tonnes",2.26,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Rice","101.0","Cereals","Total",57727,"Hectare",117237,"Tonnes",2.031,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Rice","101.0","Cereals","Winter",50758,"Hectare",102694,"Tonnes",2.023,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Sesamum","1003.0","Oilseeds","Kharif",1087,"Hectare",815,"Tonnes",0.75,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Small Millets","108.0","Cereals","Kharif",39,"Hectare",33,"Tonnes",0.846,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Sugarcane","401.0","Sugar","Whole Year",5002,"Hectare",215751,"Tonnes",43.133,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Sweet Potato","703.0","Vegetable","Whole Year",110,"Hectare",610,"Tonnes",5.545,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Tapioca","702.0","Vegetable","Whole Year",88,"Hectare",994,"Tonnes",11.295,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Tobacco","1302.0","Drugs And Narcotics","Whole Year",3,"Hectare",3,"Tonnes",1,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Turmeric","504.0","Spices","Whole Year",228,"Hectare",490,"Tonnes",2.149,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Urad","203.0","Pulses","Rabi",417,"Hectare",276,"Tonnes",0.662,"Tonnes/Hectare"
"2021-2022","Assam","18","West Karbi Anglong","710","Wheat","106.0","Cereals","Rabi",400,"Hectare",275,"Tonnes",0.688,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Coriander","509.0","Spices","Whole Year",6,"Hectare",5,"Tonnes",0.833,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Dry Chillies","502.0","Spices","Rabi",58,"Hectare",70,"Tonnes",1.207,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Jute","1102.0","Fiber Crops","Kharif",10271,"Hectare",250555.56,"Tonnes",24.394,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Maize","104.0","Cereals","Rabi",27494,"Hectare",240600,"Tonnes",8.751,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Maize","104.0","Cereals","Summer",2412,"Hectare",9439,"Tonnes",3.913,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Maize","104.0","Cereals","Total",29906,"Hectare",250039,"Tonnes",8.361,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Masoor","205.0","Pulses","Rabi",3,"Hectare",2,"Tonnes",0.667,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Moong(Green Gram)","204.0","Pulses","Summer",6090,"Hectare",1462,"Tonnes",0.24,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Onion","708.0","Vegetable","Rabi",135,"Hectare",1815,"Tonnes",13.444,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Potato","701.0","Vegetable","Rabi",1643,"Hectare",30796,"Tonnes",18.744,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Potato","701.0","Vegetable","Total",2987,"Hectare",62162,"Tonnes",20.811,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Potato","701.0","Vegetable","Winter",1344,"Hectare",31366,"Tonnes",23.338,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",77,"Hectare",99,"Tonnes",1.286,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Rice","101.0","Cereals","Summer",6808,"Hectare",17948,"Tonnes",2.636,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Rice","101.0","Cereals","Total",35294,"Hectare",71040,"Tonnes",2.013,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Rice","101.0","Cereals","Winter",28486,"Hectare",53092,"Tonnes",1.864,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Sunflower","1007.0","Oilseeds","Rabi",4,"Hectare",6,"Tonnes",1.5,"Tonnes/Hectare"
"2021-2022","Bihar","10","Araria","188","Wheat","106.0","Cereals","Rabi",13303,"Hectare",39715,"Tonnes",2.985,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Arhar/Tur","202.0","Pulses","Kharif",31,"Hectare",54,"Tonnes",1.742,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Barley","107.0","Cereals","Rabi",56,"Hectare",87,"Tonnes",1.554,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Dry Chillies","502.0","Spices","Rabi",10,"Hectare",27,"Tonnes",2.7,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Garlic","508.0","Spices","Whole Year",56,"Hectare",88,"Tonnes",1.571,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Gram","201.0","Pulses","Rabi",828,"Hectare",898,"Tonnes",1.085,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Horse-Gram","206.0","Pulses","Kharif",10,"Hectare",9,"Tonnes",0.9,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Khesari","521.0","Spices","Rabi",173,"Hectare",229,"Tonnes",1.324,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Linseed","1005.0","Oilseeds","Rabi",39,"Hectare",33,"Tonnes",0.846,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Maize","104.0","Cereals","Autumn",17,"Hectare",26,"Tonnes",1.529,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Maize","104.0","Cereals","Rabi",19,"Hectare",64,"Tonnes",3.368,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Maize","104.0","Cereals","Summer",30,"Hectare",136,"Tonnes",4.533,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Maize","104.0","Cereals","Total",66,"Hectare",226,"Tonnes",3.424,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Moong(Green Gram)","204.0","Pulses","Kharif",13,"Hectare",11,"Tonnes",0.846,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Moong(Green Gram)","204.0","Pulses","Summer",85,"Hectare",66,"Tonnes",0.776,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Moong(Green Gram)","204.0","Pulses","Total",98,"Hectare",77,"Tonnes",0.786,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Onion","708.0","Vegetable","Rabi",161,"Hectare",2433,"Tonnes",15.112,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Peas & Beans (Pulses)","213.0","Pulses","Rabi",236,"Hectare",233,"Tonnes",0.987,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Potato","701.0","Vegetable","Rabi",657,"Hectare",12679,"Tonnes",19.298,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Potato","701.0","Vegetable","Total",766,"Hectare",14682,"Tonnes",19.167,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Potato","701.0","Vegetable","Winter",109,"Hectare",2003,"Tonnes",18.376,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Ragi","105.0","Cereals","Kharif",3,"Hectare",3,"Tonnes",1,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",241,"Hectare",254,"Tonnes",1.054,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Rice","101.0","Cereals","Winter",17349,"Hectare",66290,"Tonnes",3.821,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Sesamum","1003.0","Oilseeds","Kharif",3,"Hectare",3,"Tonnes",1,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Urad","203.0","Pulses","Kharif",18,"Hectare",15,"Tonnes",0.833,"Tonnes/Hectare"
"2021-2022","Bihar","10","Arwal","611","Wheat","106.0","Cereals","Rabi",9099,"Hectare",25250,"Tonnes",2.775,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Arhar/Tur","202.0","Pulses","Kharif",496,"Hectare",596,"Tonnes",1.202,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Barley","107.0","Cereals","Rabi",369,"Hectare",630,"Tonnes",1.707,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Gram","201.0","Pulses","Rabi",7718,"Hectare",6946,"Tonnes",0.9,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Khesari","521.0","Spices","Rabi",8968,"Hectare",6861,"Tonnes",0.765,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Linseed","1005.0","Oilseeds","Rabi",1273,"Hectare",1076,"Tonnes",0.845,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Maize","104.0","Cereals","Autumn",16,"Hectare",51,"Tonnes",3.188,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Masoor","205.0","Pulses","Rabi",22253,"Hectare",14398,"Tonnes",0.647,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Moong(Green Gram)","204.0","Pulses","Kharif",7,"Hectare",5,"Tonnes",0.714,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Moong(Green Gram)","204.0","Pulses","Summer",33,"Hectare",26,"Tonnes",0.788,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Moong(Green Gram)","204.0","Pulses","Total",40,"Hectare",31,"Tonnes",0.775,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Onion","708.0","Vegetable","Rabi",113,"Hectare",1708,"Tonnes",15.115,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Other Kharif Pulses","288.0","Pulses","Kharif",5,"Hectare",4,"Tonnes",0.8,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Peas & Beans (Pulses)","213.0","Pulses","Rabi",737,"Hectare",728,"Tonnes",0.988,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Potato","701.0","Vegetable","Rabi",671,"Hectare",12950,"Tonnes",19.3,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Potato","701.0","Vegetable","Total",1352,"Hectare",25463,"Tonnes",18.834,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Potato","701.0","Vegetable","Winter",681,"Hectare",12513,"Tonnes",18.374,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",3340,"Hectare",3236,"Tonnes",0.969,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Rice","101.0","Cereals","Winter",183834,"Hectare",705640,"Tonnes",3.838,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Sugarcane","401.0","Sugar","Whole Year",57,"Hectare",3263,"Tonnes",57.246,"Tonnes/Hectare"
"2021-2022","Bihar","10","Aurangabad","189","Wheat","106.0","Cereals","Rabi",101148,"Hectare",263733,"Tonnes",2.607,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Arhar/Tur","202.0","Pulses","Kharif",754,"Hectare",1015,"Tonnes",1.346,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Barley","107.0","Cereals","Rabi",107,"Hectare",92,"Tonnes",0.86,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Garlic","508.0","Spices","Whole Year",13,"Hectare",20,"Tonnes",1.538,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Gram","201.0","Pulses","Rabi",2344,"Hectare",1725,"Tonnes",0.736,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Horse-Gram","206.0","Pulses","Kharif",216,"Hectare",201,"Tonnes",0.931,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Khesari","521.0","Spices","Rabi",105,"Hectare",75,"Tonnes",0.714,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Linseed","1005.0","Oilseeds","Rabi",128,"Hectare",108,"Tonnes",0.844,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Maize","104.0","Cereals","Autumn",504,"Hectare",1093,"Tonnes",2.169,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Maize","104.0","Cereals","Rabi",1185,"Hectare",4629,"Tonnes",3.906,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Maize","104.0","Cereals","Summer",1457,"Hectare",7623,"Tonnes",5.232,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Maize","104.0","Cereals","Total",3146,"Hectare",13345,"Tonnes",4.242,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Masoor","205.0","Pulses","Rabi",1283,"Hectare",833,"Tonnes",0.649,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Moong(Green Gram)","204.0","Pulses","Kharif",706,"Hectare",449,"Tonnes",0.636,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Moong(Green Gram)","204.0","Pulses","Summer",1619,"Hectare",1125,"Tonnes",0.695,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Moong(Green Gram)","204.0","Pulses","Total",2325,"Hectare",1574,"Tonnes",0.677,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Onion","708.0","Vegetable","Rabi",32,"Hectare",446,"Tonnes",13.938,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Other Kharif Pulses","288.0","Pulses","Kharif",1136,"Hectare",864,"Tonnes",0.761,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Other Rabi Pulses","288.0","Pulses","Rabi",155,"Hectare",156,"Tonnes",1.006,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Peas & Beans (Pulses)","213.0","Pulses","Rabi",79,"Hectare",82,"Tonnes",1.038,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Potato","701.0","Vegetable","Rabi",874,"Hectare",15080,"Tonnes",17.254,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Potato","701.0","Vegetable","Total",5334,"Hectare",100302,"Tonnes",18.804,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Potato","701.0","Vegetable","Winter",4460,"Hectare",85222,"Tonnes",19.108,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Rapeseed &Mustard","1004.0","Oilseeds","Rabi",451,"Hectare",458,"Tonnes",1.016,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Rice","101.0","Cereals","Winter",101888,"Hectare",242012,"Tonnes",2.375,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Sannhamp","1104.0","Fiber Crops","Kharif",347,"Hectare",280,"Tonnes",0.807,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Sesamum","1003.0","Oilseeds","Kharif",11,"Hectare",10,"Tonnes",0.909,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Sugarcane","401.0","Sugar","Whole Year",321,"Hectare",13482,"Tonnes",42,"Tonnes/Hectare"
"2021-2022","Bihar","10","Banka","190","Wheat","106.0","Cereals","Rabi",19126,"Hectare",47271,"Tonnes",2.472,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Arhar/Tur","202.0","Pulses","Kharif",332,"Hectare",463,"Tonnes",1.395,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Coriander","509.0","Spices","Whole Year",35,"Hectare",32,"Tonnes",0.914,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Dry Chillies","502.0","Spices","Rabi",285,"Hectare",912,"Tonnes",3.2,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Garlic","508.0","Spices","Whole Year",36,"Hectare",53,"Tonnes",1.472,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Gram","201.0","Pulses","Rabi",9,"Hectare",8,"Tonnes",0.889,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Horse-Gram","206.0","Pulses","Kharif",162,"Hectare",112,"Tonnes",0.691,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Jowar","102.0","Cereals","Kharif",129,"Hectare",138,"Tonnes",1.07,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Khesari","521.0","Spices","Rabi",53,"Hectare",46,"Tonnes",0.868,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Maize","104.0","Cereals","Autumn",37704,"Hectare",52174,"Tonnes",1.384,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Maize","104.0","Cereals","Rabi",33166,"Hectare",224003,"Tonnes",6.754,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Maize","104.0","Cereals","Summer",1392,"Hectare",5415,"Tonnes",3.89,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Maize","104.0","Cereals","Total",72262,"Hectare",281592,"Tonnes",3.897,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Masoor","205.0","Pulses","Rabi",760,"Hectare",699,"Tonnes",0.92,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Mesta","1103.0","Fiber Crops","Kharif",3,"Hectare",33.33,"Tonnes",11.11,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Moong(Green Gram)","204.0","Pulses","Kharif",101,"Hectare",104,"Tonnes",1.03,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Moong(Green Gram)","204.0","Pulses","Summer",158,"Hectare",86,"Tonnes",0.544,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Moong(Green Gram)","204.0","Pulses","Total",259,"Hectare",190,"Tonnes",0.734,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Onion","708.0","Vegetable","Rabi",69,"Hectare",1034,"Tonnes",14.986,"Tonnes/Hectare"
"2021-2022","Bihar","10","Begusarai","191","Other Kharif Pulses","288.0","Pulses","Kharif",48,"Hectare",36,"Tonnes",0.75,"Tonnes/Hectare"
